"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","BL2-A","BL3-A","BL3-H","BL3-W","Event","VL1-A","VL1-H","VL1-W","VL3-A","VL3-H","VL3-W","Time"
3.21077e+06,3.10415e+06,28,4.99165e+06,4.94054e+06,49,21156,33871,19,34000,-160,0,0,252,20476,15913,14,44863,42333,20,0
2.80492e+06,2.67788e+06,36,4.90761e+06,4.56051e+06,70,-14588,6417,0,-3510,-971,0,0,253,168,2059,0,-673,769,0,0
2.55521e+06,2.33183e+06,32,1.90117e+06,1.66404e+06,60,-12139,1198,0,1717,-26754,0,0,254,954,2100,0,959,1548,0,0
1.98775e+06,1.85689e+06,27,3.14448e+06,2.6968e+06,58,24315,19049,28,9555,-102,53,0,261,6484,4444,0,4752,4127,0,0
3.84669e+06,3.45859e+06,41,5.02391e+06,4.46414e+06,69,-3694,12373,6,-4035,-74,100,0,263,8804,4365,0,4199,2001,0,0
2.16861e+06,2.34796e+06,25,3.20136e+06,3.12277e+06,50,10706,8702,0,4324,-57,7,0,266,3821,2394,0,2820,1967,0,0
3.34153e+06,3.13979e+06,38,5.40805e+06,4.82599e+06,71,-3657,4186,0,-1669,-212,80,0,268,2382,2273,0,1416,1200,0,0
3.06935e+06,2.91992e+06,38,3.65127e+06,3.64484e+06,53,-9127,7910,0,-3177,21072,4435,0,271,-5134,633,0,1577,1868,0,0
2.5481e+06,2.40802e+06,32,4.82764e+06,4.63766e+06,61,419,3926,0,-2727,5455,1395,0,272,640,1562,0,1305,1238,0,0
2.41619e+06,2.31572e+06,30,4.67883e+06,4.47283e+06,61,7303,4487,0,-248,-225,7,0,273,2110,2731,0,701,1824,0,0
2.72885e+06,2.63623e+06,37,3.1399e+06,2.93671e+06,58,-5672,10242,2,2373,-305,0,0,276,3163,3495,0,2417,1779,0,0
3.32942e+06,3.1085e+06,40,4.55784e+06,4.17479e+06,78,-6088,8742,0,-4080,-164,24,0,279,2199,5927,0,2285,2022,0,0
3.24124e+06,3.08606e+06,38,3.24289e+06,3.21474e+06,55,-675,11407,8,-2516,37192,7829,0,285,-8071,1043,0,922,1667,0,0
3.99402e+06,3.57312e+06,33,4.87323e+06,4.43137e+06,56,-3030,6557,0,-1170,-131,12,0,290,1462,3856,0,2544,2708,0,0
2.73156e+06,2.60889e+06,35,3.29167e+06,3.15072e+06,58,-1085,7701,0,161,-271,0,0,293,5842,3811,0,2684,1666,0,0
2.69283e+06,2.53416e+06,37,5.08359e+06,4.70062e+06,70,-18502,2004,0,415,-272,0,0,294,-1307,1100,0,-59,1586,0,0
2.83032e+06,2.73835e+06,31,2.50067e+06,2.3027e+06,57,-641,5156,0,7915,-187,0,0,295,5279,2565,0,2196,2191,0,0
3.7589e+06,3.33082e+06,42,3.08479e+06,2.90605e+06,58,-5320,8754,0,-1108,-223,35,0,297,1979,2998,0,1840,1672,0,0
3.02757e+06,2.64154e+06,39,5.04846e+06,4.58621e+06,66,1437,6446,0,-1019,-93,88,0,299,632,2605,0,3080,2307,0,0
3.44155e+06,3.22649e+06,39,3.79299e+06,3.31108e+06,72,-5029,7234,0,1057,-210,21,0,300,3980,3660,0,2521,2051,0,0
2.3067e+06,2.21463e+06,30,3.82211e+06,3.73026e+06,58,9570,10642,4,4542,-78,45,0,302,-455,936,0,1900,1719,0,0
2.77617e+06,2.68154e+06,33,4.63567e+06,4.41613e+06,58,7392,12392,8,3966,-2483,0,0,304,10873,5367,0,3468,1994,0,0
1.8986e+06,1.88386e+06,26,2.45788e+06,2.56918e+06,44,16339,13384,8,4440,44,34,0,305,5578,3100,0,1713,2729,0,0
3.3138e+06,3.02803e+06,39,4.3686e+06,4.21502e+06,60,-19170,8206,0,-2492,-26,65,0,311,1979,2541,0,3152,2173,0,0
3.17008e+06,2.74419e+06,36,5.14981e+06,4.75414e+06,60,-8867,11842,6,-2485,-112,75,0,314,-1077,2454,0,4147,3286,0,0
2.65188e+06,2.59439e+06,35,3.67706e+06,3.46736e+06,65,-13300,3816,0,-5776,-12735,0,0,318,-2375,314,0,2612,1396,0,0
2.72218e+06,2.62939e+06,36,2.88248e+06,2.6946e+06,73,2364,10033,2,872,-970,0,0,320,-471,1120,0,1315,1592,0,0
2.6389e+06,2.42568e+06,33,4.82502e+06,4.33814e+06,64,-185,12377,10,-535,2104,602,0,324,1620,2910,0,1801,1886,0,0
3.28094e+06,3.09139e+06,39,5.17102e+06,4.82574e+06,69,1912,16400,13,5392,-156,30,0,328,7611,6971,0,2298,2121,0,0
2.99797e+06,2.81264e+06,36,3.78966e+06,3.9064e+06,56,-1269,9468,0,-4284,-46,143,0,330,1363,2782,0,2222,1112,0,0
3.32002e+06,3.15879e+06,40,3.09089e+06,2.71103e+06,66,280,10850,4,1720,-89,100,0,331,7537,7534,0,2411,2065,0,0
2.43411e+06,2.32712e+06,30,4.28766e+06,4.1176e+06,59,-3168,2404,0,-6204,-7075,0,0,332,-1335,1435,0,835,1247,0,0
