"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","BL2-A","BL3-A","BL3-H","BL3-W","Event","VL1-A","VL1-H","VL1-W","VL3-A","VL3-H","VL3-W","Time"
2.53064e+06,2.4494e+06,30,2.24884e+06,2.134e+06,59,12055,16066,11,864,-218,0,0,7952,86575,70195,27,4874,3530,0,16.5455
2.34488e+06,1.59043e+06,41,3.82531e+06,2.52708e+06,64,32385,21123,32,12131,-259,39,0,7965,40670,20676,25,12262,7678,0,16.5455
2.58619e+06,2.52078e+06,29,4.44309e+06,8.19856e+06,53,38896,37215,21,25402,-965,0,0,7999,105959,99903,25,53896,49690,21,16.5455
3.50398e+06,2.9605e+06,42,4.70309e+06,8.21531e+06,67,887973,832328,48,367650,15466,3673,0,8000,68369,57375,29,32107,26462,19,16.5455
2.82066e+06,2.70593e+06,38,4.4929e+06,4.35293e+06,66,10528,8357,0,3755,-238,36,0,8035,47381,41490,22,14545,13616,10,16.5455
3.03333e+06,2.93757e+06,37,2.62554e+06,2.4017e+06,62,9968,11162,5,354,-178,13,0,8082,46450,41105,22,2989,3952,0,16.5455
2.27119e+06,2.13055e+06,27,1.84847e+06,1.80597e+06,52,-654,11724,8,-4066,1071,370,0,8140,32571,30272,18,3320,3820,0,16.5455
3.91522e+06,3.32835e+06,35,3.69212e+06,3.17784e+06,66,55946,47463,38,37769,-12504,0,0,8155,43487,30282,22,46653,39496,21,16.5455
2.19341e+06,2.09454e+06,30,3.06138e+06,2.69938e+06,69,18674,10386,5,7434,-180,27,0,8249,26150,21218,16,6519,6518,0,16.5455
3.96926e+06,3.40834e+06,42,3.89498e+06,3.66339e+06,59,3483,13279,9,-1989,3148,795,0,8256,34675,24983,20,3912,3965,0,16.5455
